@relation amazonReview
@attribute "is" numeric
@attribute "the" numeric
@attribute "I" numeric
@attribute "it" numeric
@attribute "of" numeric
@attribute "this" numeric
@attribute "The" numeric
@attribute "It" numeric
@attribute "don" numeric
@attribute "book" numeric
@attribute "my" numeric
@attribute "This" numeric
@attribute "use" numeric
@attribute "cells" numeric
@attribute "we" numeric
@attribute "children" numeric
@attribute "Don" numeric
@attribute "people" numeric
@attribute "quite" numeric
@attribute "lamp" numeric
@attribute "its" numeric
@attribute "our" numeric
@attribute "product" numeric
@attribute "highly" numeric
@attribute "handle" numeric
@attribute "steel" numeric
@attribute "battery" numeric
@attribute "Highly" numeric
@attribute "hose" numeric
@attribute "stories" numeric
@attribute "My" numeric
@attribute "cell" numeric
@attribute "Blankenship" numeric
@attribute "Ozarks" numeric
@attribute "We" numeric
@attribute "interesting" numeric
@attribute "capacity" numeric
@attribute "patterns" numeric
@attribute "album" numeric
@attribute "music" numeric
@attribute "W" numeric
@attribute "N" numeric
@attribute "knitting" numeric
@attribute "viewer" numeric
@attribute "recommended" numeric
@attribute "Rebecca" numeric
@attribute "AAA" numeric
@attribute "charger" numeric
@attribute "preceding" numeric
@attribute "knit" numeric
@attribute "Harp" numeric
@attribute "rechargeable" numeric
@attribute "Grady" numeric
@attribute "AA" numeric
@attribute "Is" numeric
@attribute "w" numeric
@attribute "Warner" numeric
@attribute "brass" numeric
@attribute "poll" numeric
@attribute "cable" numeric
@attribute "imdb" numeric
@attribute "bristles" numeric
@attribute "n" numeric
@attribute "Parenthetical" numeric
@attribute "i" numeric
@attribute "Koenig" numeric
@attribute "Recommended" numeric
@attribute "NiMH" numeric
@attribute "THE" numeric
@attribute "glass" numeric
@attribute "voltage" numeric
@attribute "Of" numeric
@attribute "ear" numeric
@attribute "brush" numeric
@attribute "stomach" numeric
@attribute "Battery" numeric
@attribute "practice" numeric
@attribute "g" numeric
@attribute "thus" numeric
@attribute "IS" numeric
@attribute "images" numeric
@attribute "heartburn" numeric
@attribute "eneloop" numeric
@attribute "Spenser" numeric
@attribute "basketball" numeric
@attribute "acid" numeric
@attribute "Rayovac" numeric
@attribute "song" numeric
@attribute "wire" numeric
@attribute "coupons" numeric
@attribute "valve" numeric
@attribute "sink" numeric
@attribute "file" numeric
@attribute "doll" numeric
@attribute "animals" numeric
@attribute "candles" numeric
@attribute "Hybrid" numeric
@attribute "installed" numeric
@attribute "ratings" numeric
@attribute "toothpaste" numeric
@attribute "stainless" numeric
@attribute "Hose" numeric
@attribute "Brass" numeric
@attribute "Sanyo" numeric
@attribute "OF" numeric
@attribute "pony" numeric
@attribute "G" numeric
@attribute "boys" numeric
@attribute "bulb" numeric
@attribute "Book" numeric
@attribute "Twitter" numeric
@attribute "reviewer" numeric
@attribute "Charger" numeric
@attribute "binder" numeric
@attribute "caulk" numeric
@attribute "Thus" numeric
@attribute "Our" numeric
@attribute "JJ" numeric
@attribute "goggles" numeric
@attribute "Images" numeric
@attribute "spoilers" numeric
@attribute "Steel" numeric
@attribute "Knitting" numeric
@attribute "nozzle" numeric
@attribute "People" numeric
@attribute "Spy" numeric
@attribute "Konedog" numeric
@attribute "diameter" numeric
@attribute "Python" numeric
@attribute "Popeye" numeric
@attribute "Brant" numeric
@attribute "Children" numeric
@attribute "kanji" numeric
@attribute "pipe" numeric
@attribute "konedog" numeric
@attribute "mist" numeric
@attribute "stool" numeric
@attribute "screw" numeric
@attribute "reducer" numeric
@attribute "faith" numeric
@attribute "lamps" numeric
@attribute "ants" numeric
@attribute "spy" numeric
@attribute "Lamp" numeric
@attribute "Eneloop" numeric
@attribute "stapler" numeric
@attribute "harp" numeric
@attribute "Erica" numeric
@attribute "Faith" numeric
@attribute "Lusitania" numeric
@attribute "Stories" numeric
@attribute "Sellers" numeric
@attribute "THIS" numeric
@attribute "Rick" numeric
@attribute "Chesty" numeric
@attribute "dance" numeric
@attribute "Rechargeable" numeric
@attribute "Sambo" numeric
@attribute "Handle" numeric
@attribute "File" numeric
@attribute "RATINGS" numeric
@attribute "Use" numeric
@attribute "Binder" numeric
@attribute "DON" numeric
@attribute "Ratings" numeric
@attribute "Mist" numeric
@attribute "Its" numeric
@attribute "Product" numeric
@attribute "Cell" numeric
@attribute "VOLTAGE" numeric
@attribute "Song" numeric
@attribute "belly" numeric
@attribute "Practice" numeric
@attribute "Nozzle" numeric
@attribute "Capacity" numeric
@attribute "Candles" numeric
@attribute "trowel" numeric
@attribute "WE" numeric
@attribute "SANYO" numeric
@attribute "Doll" numeric
@attribute "Sunblock" numeric
@attribute "POPEYE" numeric
@attribute "Cable" numeric
@attribute "MY" numeric
@attribute "Stainless" numeric
@attribute "Mogul" numeric
@attribute "Goggles" numeric
@attribute "hybrid" numeric
@attribute "Brush" numeric
@attribute "Caulk" numeric
@attribute "Boys" numeric
@attribute "sunblock" numeric
@attribute "Music" numeric
@attribute "LUSITANIA" numeric
@attribute "Morrison" numeric
@attribute "Valve" numeric
@attribute "sellers" numeric
@attribute "Screw" numeric
@attribute "nimh" numeric
@attribute "Pony" numeric
@attribute "THe" numeric
@attribute "Quite" numeric
@attribute "BINDER" numeric
@attribute "sunglasses" numeric
@attribute "Trowel" numeric
@attribute "IT" numeric
@attribute "Toothpaste" numeric
@attribute "Dance" numeric
@attribute "MOGUL" numeric
@attribute "NiMh" numeric
@attribute "Knit" numeric
@attribute "SELLERS" numeric
@attribute "Stool" numeric
@attribute "Reducer" numeric
@attribute "ALBUM" numeric
@attribute "USE" numeric
@attribute "Faye" numeric
@attribute "SPY" numeric
@attribute "Installed" numeric
@attribute "Acid" numeric
@attribute "Stomach" numeric
@attribute "GLASS" numeric
@attribute "BOOK" numeric
@attribute "Animals" numeric
@attribute "CABLE" numeric
@attribute "Kanji" numeric
@attribute "OUR" numeric
@attribute "RECOMMENDED" numeric
@attribute "PRODUCT" numeric
@attribute "MUSIC" numeric
@attribute "Glass" numeric
@attribute "Wire" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
15,5,2,8,4,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
12,12,4,6,2,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
6,3,4,2,4,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
6,18,2,6,5,1,2,2,0,0,2,1,2,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
15,13,0,8,5,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
12,11,4,8,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
9,13,0,6,6,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
12,11,0,2,2,1,5,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
15,21,2,8,6,0,5,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
24,10,0,8,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,60,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
