@relation amazonReview
@attribute "WordLength_3" numeric
@attribute "WordLength_2" numeric
@attribute "WordLength_1" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
26,24,12,Agresti
35,24,9,Agresti
29,17,6,Agresti
58,39,11,Agresti
39,31,11,Agresti
48,41,21,Agresti
33,32,11,Agresti
51,32,7,Agresti
59,42,10,Agresti
31,38,14,Agresti
53,55,12,Agresti
29,19,5,Agresti
37,24,14,Agresti
65,33,10,Agresti
47,30,11,Agresti
39,21,4,Agresti
34,32,9,Agresti
42,22,8,Agresti
29,28,7,Agresti
46,45,13,Agresti
51,60,20,Agresti
56,53,7,Agresti
44,48,16,Agresti
44,36,23,Agresti
54,40,19,Agresti
42,26,9,Agresti
55,32,10,Agresti
57,55,14,Agresti
48,47,22,Agresti
30,26,10,Agresti
44,20,14,Agresti
21,29,8,Agresti
30,22,7,Agresti
67,61,17,Agresti
36,43,19,Agresti
24,26,4,Agresti
24,27,8,Agresti
22,21,10,Agresti
26,27,13,Agresti
36,31,14,Agresti
16,29,13,Agresti
57,52,18,Agresti
57,43,15,Agresti
10,11,3,Agresti
16,17,9,Agresti
24,20,9,Agresti
10,23,11,Agresti
47,36,16,Agresti
17,13,6,Agresti
76,45,15,Agresti
34,40,9,Ashbacher
52,35,3,Ashbacher
25,20,7,Ashbacher
45,35,12,Ashbacher
45,35,12,Ashbacher
45,42,7,Ashbacher
45,35,9,Ashbacher
64,52,9,Ashbacher
26,22,5,Ashbacher
63,47,8,Ashbacher
50,32,6,Ashbacher
28,19,2,Ashbacher
24,22,5,Ashbacher
49,51,11,Ashbacher
28,25,8,Ashbacher
28,36,6,Ashbacher
45,28,3,Ashbacher
69,62,18,Ashbacher
71,62,18,Ashbacher
25,26,12,Ashbacher
74,50,21,Ashbacher
40,55,8,Ashbacher
50,44,9,Ashbacher
43,40,11,Ashbacher
51,47,7,Ashbacher
33,23,3,Ashbacher
79,67,5,Ashbacher
18,24,3,Ashbacher
46,62,10,Ashbacher
54,36,7,Ashbacher
34,33,5,Ashbacher
44,52,12,Ashbacher
48,41,15,Ashbacher
69,49,15,Ashbacher
67,50,3,Ashbacher
64,54,13,Ashbacher
59,52,14,Ashbacher
66,55,13,Ashbacher
69,57,8,Ashbacher
50,42,13,Ashbacher
54,53,5,Ashbacher
54,46,8,Ashbacher
59,52,7,Ashbacher
31,29,7,Ashbacher
45,32,6,Ashbacher
37,47,6,Ashbacher
26,29,10,Ashbacher
65,55,18,Ashbacher
61,53,11,Ashbacher
34,31,5,Ashbacher
40,27,10,Auken
64,49,24,Auken
69,51,15,Auken
50,31,20,Auken
50,31,20,Auken
28,15,11,Auken
30,25,20,Auken
29,23,20,Auken
5,5,4,Auken
35,22,8,Auken
54,41,16,Auken
53,37,16,Auken
27,28,12,Auken
42,52,15,Auken
31,40,7,Auken
53,65,8,Auken
30,37,17,Auken
51,49,17,Auken
30,37,17,Auken
48,38,20,Auken
49,42,15,Auken
40,25,11,Auken
46,44,18,Auken
29,29,11,Auken
16,18,10,Auken
16,16,11,Auken
47,34,17,Auken
41,31,13,Auken
42,42,30,Auken
25,30,9,Auken
27,30,11,Auken
11,9,1,Auken
49,31,22,Auken
24,25,16,Auken
47,43,21,Auken
48,47,21,Auken
9,7,3,Auken
26,25,4,Auken
14,15,2,Auken
29,29,11,Auken
35,25,15,Auken
30,33,10,Auken
38,32,8,Auken
38,32,8,Auken
36,15,6,Auken
26,27,12,Auken
17,19,10,Auken
25,15,7,Auken
54,44,18,Auken
31,32,10,Auken
70,52,20,Blankenship
65,67,26,Blankenship
76,50,22,Blankenship
53,50,20,Blankenship
59,54,11,Blankenship
51,49,20,Blankenship
57,42,12,Blankenship
38,31,5,Blankenship
43,46,20,Blankenship
48,34,8,Blankenship
54,63,11,Blankenship
51,59,6,Blankenship
83,50,13,Blankenship
77,57,19,Blankenship
46,47,24,Blankenship
48,53,18,Blankenship
61,32,9,Blankenship
75,57,19,Blankenship
87,65,23,Blankenship
77,56,19,Blankenship
66,38,12,Blankenship
45,61,24,Blankenship
56,35,12,Blankenship
86,76,29,Blankenship
83,54,19,Blankenship
89,46,19,Blankenship
71,48,15,Blankenship
36,47,19,Blankenship
91,55,21,Blankenship
67,31,10,Blankenship
49,32,10,Blankenship
79,71,13,Blankenship
44,35,11,Blankenship
78,66,16,Blankenship
50,55,21,Blankenship
59,70,30,Blankenship
55,43,14,Blankenship
76,36,23,Blankenship
58,58,22,Blankenship
55,45,12,Blankenship
51,59,21,Blankenship
65,66,20,Blankenship
49,31,12,Blankenship
69,51,27,Blankenship
46,41,17,Blankenship
72,50,21,Blankenship
51,39,14,Blankenship
48,44,10,Blankenship
62,57,11,Blankenship
74,55,16,Blankenship
57,34,13,Brody
46,27,21,Brody
45,31,11,Brody
46,33,6,Brody
27,19,19,Brody
16,16,8,Brody
41,44,26,Brody
52,33,15,Brody
30,23,16,Brody
65,54,17,Brody
22,27,11,Brody
12,10,16,Brody
56,39,12,Brody
54,47,24,Brody
85,59,34,Brody
71,61,26,Brody
41,35,9,Brody
35,22,16,Brody
15,20,11,Brody
12,7,3,Brody
35,26,13,Brody
66,62,35,Brody
49,33,14,Brody
47,46,10,Brody
11,18,2,Brody
23,18,8,Brody
29,28,17,Brody
41,32,10,Brody
21,12,11,Brody
38,37,5,Brody
30,30,11,Brody
14,17,7,Brody
19,7,4,Brody
32,42,12,Brody
23,26,2,Brody
68,35,23,Brody
60,33,24,Brody
65,49,12,Brody
46,46,17,Brody
29,25,18,Brody
32,30,12,Brody
81,58,27,Brody
69,44,22,Brody
22,27,14,Brody
33,22,9,Brody
24,15,7,Brody
11,20,5,Brody
16,10,4,Brody
6,11,3,Brody
21,20,14,Brody
29,37,12,Brown
25,33,12,Brown
37,29,17,Brown
32,22,16,Brown
34,28,7,Brown
46,32,16,Brown
27,18,9,Brown
45,42,14,Brown
43,35,11,Brown
43,36,14,Brown
29,23,7,Brown
49,45,18,Brown
49,45,18,Brown
27,25,12,Brown
33,23,8,Brown
68,56,20,Brown
7,6,4,Brown
17,12,6,Brown
41,51,27,Brown
47,37,19,Brown
33,34,14,Brown
21,23,15,Brown
55,58,30,Brown
29,27,7,Brown
38,43,12,Brown
43,33,11,Brown
32,19,6,Brown
47,41,9,Brown
28,17,10,Brown
44,31,3,Brown
54,36,13,Brown
23,24,5,Brown
36,19,7,Brown
40,43,6,Brown
35,38,14,Brown
47,21,13,Brown
48,22,13,Brown
60,82,19,Brown
25,21,8,Brown
36,24,6,Brown
60,43,19,Brown
53,55,14,Brown
43,43,11,Brown
25,32,7,Brown
17,22,6,Brown
33,20,7,Brown
33,16,7,Brown
23,31,7,Brown
46,28,12,Brown
12,29,8,Brown
51,40,18,Bukowsky
38,39,10,Bukowsky
46,43,13,Bukowsky
65,45,15,Bukowsky
48,47,14,Bukowsky
66,52,19,Bukowsky
63,42,15,Bukowsky
61,41,11,Bukowsky
56,49,7,Bukowsky
64,37,11,Bukowsky
60,45,15,Bukowsky
68,44,11,Bukowsky
49,37,24,Bukowsky
51,41,14,Bukowsky
64,46,22,Bukowsky
48,39,15,Bukowsky
62,44,10,Bukowsky
58,42,7,Bukowsky
80,41,22,Bukowsky
47,32,11,Bukowsky
56,40,16,Bukowsky
62,39,16,Bukowsky
50,33,12,Bukowsky
79,57,20,Bukowsky
65,42,16,Bukowsky
66,43,19,Bukowsky
67,49,14,Bukowsky
61,55,16,Bukowsky
73,60,22,Bukowsky
58,44,17,Bukowsky
58,41,14,Bukowsky
43,32,11,Bukowsky
53,43,7,Bukowsky
75,57,8,Bukowsky
50,36,11,Bukowsky
72,43,21,Bukowsky
66,40,15,Bukowsky
77,42,7,Bukowsky
47,35,14,Bukowsky
60,44,10,Bukowsky
74,41,16,Bukowsky
61,42,18,Bukowsky
60,42,13,Bukowsky
50,28,5,Bukowsky
53,31,16,Bukowsky
64,49,10,Bukowsky
