@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "y" numeric
@attribute "g" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cutey, Davisson, Dent, Engineer, Goonan}
@data
61,55,50,64,45,48,29,41,28,38,24,31,15,17,20,14,9,16,7,12,5,9,3,0,4,1,Agresti
116,69,54,61,34,72,56,47,36,46,25,23,19,14,7,11,11,12,22,15,11,4,0,7,20,1,Agresti
96,70,60,50,39,72,34,56,50,46,27,17,23,18,20,13,6,15,13,29,6,3,0,0,0,1,Agresti
130,103,85,80,70,54,78,56,57,52,29,45,29,18,30,17,18,18,35,14,13,2,5,0,0,1,Agresti
97,87,63,57,53,58,50,38,34,42,32,28,39,19,28,13,11,15,11,10,8,8,1,1,3,2,Agresti
141,96,107,116,72,85,71,72,54,79,54,48,45,28,27,14,38,25,21,35,11,8,3,2,2,3,Agresti
93,75,56,58,52,38,46,41,32,36,22,23,15,15,26,12,13,15,14,4,5,4,9,7,0,0,Agresti
156,108,73,65,70,113,51,108,52,79,36,34,29,15,21,15,22,16,27,42,6,7,1,0,1,2,Agresti
148,110,76,88,64,87,66,74,72,49,39,27,36,23,18,18,26,21,26,36,5,15,1,3,1,2,Agresti
113,86,93,57,64,66,46,52,54,62,37,30,32,29,17,22,19,30,19,24,10,2,0,2,1,3,Agresti
134,118,81,73,82,74,65,53,73,55,36,46,33,21,16,15,20,28,30,22,9,11,3,0,0,3,Agresti
73,73,54,56,22,49,36,40,34,34,29,21,13,15,15,16,12,10,9,9,5,3,0,0,0,1,Agresti
84,54,45,51,51,46,37,43,30,30,38,23,13,13,11,17,14,24,11,8,4,5,3,1,6,0,Agresti
133,124,104,75,67,83,68,56,77,63,33,65,36,29,28,10,15,36,37,25,7,9,2,1,0,2,Agresti
103,98,71,53,49,68,52,51,64,36,33,22,23,17,19,13,20,18,25,10,7,4,0,3,1,1,Agresti
