@relation amazonReview
@attribute "e" numeric
@attribute "t" numeric
@attribute "a" numeric
@attribute "o" numeric
@attribute "i" numeric
@attribute "s" numeric
@attribute "n" numeric
@attribute "r" numeric
@attribute "h" numeric
@attribute "l" numeric
@attribute "d" numeric
@attribute "c" numeric
@attribute "u" numeric
@attribute "m" numeric
@attribute "f" numeric
@attribute "g" numeric
@attribute "y" numeric
@attribute "p" numeric
@attribute "w" numeric
@attribute "b" numeric
@attribute "v" numeric
@attribute "k" numeric
@attribute "x" numeric
@attribute "j" numeric
@attribute "z" numeric
@attribute "q" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
61,55,50,64,45,48,29,41,28,38,24,31,15,17,20,9,14,16,7,12,5,9,3,0,4,1,Agresti
116,69,54,61,34,72,56,47,36,46,25,23,19,14,7,11,11,12,22,15,11,4,0,7,20,1,Agresti
96,70,60,50,39,72,34,56,50,46,27,17,23,18,20,6,13,15,13,29,6,3,0,0,0,1,Agresti
130,103,85,80,70,54,78,56,57,52,29,45,29,18,30,18,17,18,35,14,13,2,5,0,0,1,Agresti
97,87,63,57,53,58,50,38,34,42,32,28,39,19,28,11,13,15,11,10,8,8,1,1,3,2,Agresti
141,96,107,116,72,85,71,72,54,79,54,48,45,28,27,38,14,25,21,35,11,8,3,2,2,3,Agresti
93,75,56,58,52,38,46,41,32,36,22,23,15,15,26,13,12,15,14,4,5,4,9,7,0,0,Agresti
156,108,73,65,70,113,51,108,52,79,36,34,29,15,21,22,15,16,27,42,6,7,1,0,1,2,Agresti
148,110,76,88,64,87,66,74,72,49,39,27,36,23,18,26,18,21,26,36,5,15,1,3,1,2,Agresti
113,86,93,57,64,66,46,52,54,62,37,30,32,29,17,19,22,30,19,24,10,2,0,2,1,3,Agresti
134,118,81,73,82,74,65,53,73,55,36,46,33,21,16,20,15,28,30,22,9,11,3,0,0,3,Agresti
73,73,54,56,22,49,36,40,34,34,29,21,13,15,15,12,16,10,9,9,5,3,0,0,0,1,Agresti
84,54,45,51,51,46,37,43,30,30,38,23,13,13,11,14,17,24,11,8,4,5,3,1,6,0,Agresti
133,124,104,75,67,83,68,56,77,63,33,65,36,29,28,15,10,36,37,25,7,9,2,1,0,2,Agresti
103,98,71,53,49,68,52,51,64,36,33,22,23,17,19,20,13,18,25,10,7,4,0,3,1,1,Agresti
128,82,70,54,44,57,59,61,40,67,30,29,53,17,14,24,17,24,11,17,6,15,4,0,1,1,Agresti
113,75,54,65,65,56,48,51,48,33,34,15,19,26,13,22,15,7,18,11,8,3,1,1,0,0,Agresti
99,76,66,55,39,54,49,53,46,23,31,7,27,13,14,13,17,25,10,3,6,5,2,2,1,2,Agresti
79,67,47,44,43,49,35,40,26,31,27,23,29,13,14,21,11,15,8,9,7,10,4,0,0,0,Agresti
166,115,98,99,78,74,64,84,56,81,38,34,31,16,17,27,18,45,37,22,25,12,3,4,5,0,Agresti
150,142,100,111,85,90,71,65,67,46,51,55,38,18,36,28,16,27,31,35,10,24,2,0,0,3,Agresti
119,129,71,102,89,78,63,56,73,35,39,46,34,21,19,28,9,39,35,15,10,1,2,0,0,2,Agresti
100,94,57,70,69,88,53,49,45,42,22,34,27,14,19,12,17,25,13,16,8,7,0,1,0,3,Agresti
118,76,85,67,61,65,57,62,46,37,25,27,31,25,27,24,24,16,15,19,14,2,6,0,2,0,Agresti
109,96,93,83,76,80,83,39,52,48,36,33,29,25,26,20,16,9,15,11,6,3,5,2,0,1,Agresti
84,70,65,81,50,37,56,47,32,36,31,24,13,22,25,11,12,24,12,8,5,9,3,0,1,0,Agresti
88,92,53,71,62,53,53,36,44,40,23,36,30,17,10,19,20,16,14,21,6,5,2,0,0,4,Agresti
164,116,92,93,88,94,93,72,69,75,47,48,39,19,20,18,19,22,32,32,15,11,4,1,0,3,Agresti
133,102,70,95,80,67,66,82,52,60,48,49,40,13,32,14,16,35,23,12,10,4,10,1,0,3,Agresti
