@relation amazonReview
@attribute "5" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "10" numeric
@attribute "6" numeric
@attribute "7" numeric
@attribute "30" numeric
@attribute "12" numeric
@attribute "8" numeric
@attribute "100" numeric
@attribute "50" numeric
@attribute "9" numeric
@attribute "16" numeric
@attribute "20" numeric
@attribute "15" numeric
@attribute "25" numeric
@attribute "40" numeric
@attribute "60" numeric
@attribute "18" numeric
@attribute "1950" numeric
@attribute "14" numeric
@attribute "17" numeric
@attribute "300" numeric
@attribute "500" numeric
@attribute "2009" numeric
@attribute "360" numeric
@attribute "150" numeric
@attribute "70" numeric
@attribute "11" numeric
@attribute "0" numeric
@attribute "13" numeric
@attribute "2007" numeric
@attribute "1940" numeric
@attribute "32" numeric
@attribute "2000" numeric
@attribute "8900" numeric
@attribute "7312" numeric
@attribute "90" numeric
@attribute "1930" numeric
@attribute "1980" numeric
@attribute "64" numeric
@attribute "000" numeric
@attribute "99" numeric
@attribute "9700" numeric
@attribute "1936" numeric
@attribute "1960" numeric
@attribute "24" numeric
@attribute "2200" numeric
@attribute "270" numeric
@attribute "1951" numeric
@attribute "42" numeric
@attribute "1959" numeric
@attribute "80" numeric
@attribute "09" numeric
@attribute "48" numeric
@attribute "23" numeric
@attribute "1915" numeric
@attribute "1939" numeric
@attribute "1966" numeric
@attribute "26" numeric
@attribute "3000" numeric
@attribute "1954" numeric
@attribute "1925" numeric
@attribute "65" numeric
@attribute "1977" numeric
@attribute "45" numeric
@attribute "75" numeric
@attribute "27" numeric
@attribute "19" numeric
@attribute "600" numeric
@attribute "2008" numeric
@attribute "34" numeric
@attribute "1953" numeric
@attribute "1984" numeric
@attribute "135" numeric
@attribute "1999" numeric
@attribute "1929" numeric
@attribute "39" numeric
@attribute "55" numeric
@attribute "1957" numeric
@attribute "41004" numeric
@attribute "3200" numeric
@attribute "1900" numeric
@attribute "1976" numeric
@attribute "1998" numeric
@attribute "46" numeric
@attribute "2002" numeric
@attribute "6422" numeric
@attribute "1000" numeric
@attribute "1970" numeric
@attribute "35" numeric
@attribute "1952" numeric
@attribute "350" numeric
@attribute "959" numeric
@attribute "1926" numeric
@attribute "1946" numeric
@attribute "220" numeric
@attribute "1971" numeric
@attribute "1965" numeric
@attribute "1979" numeric
@attribute "2010" numeric
@attribute "1962" numeric
@attribute "750" numeric
@attribute "1044" numeric
@attribute "1994" numeric
@attribute "1958" numeric
@attribute "198" numeric
@attribute "1935" numeric
@attribute "1973" numeric
@attribute "140" numeric
@attribute "400" numeric
@attribute "110" numeric
@attribute "49" numeric
@attribute "2005" numeric
@attribute "72" numeric
@attribute "1937" numeric
@attribute "41" numeric
@attribute "1974" numeric
@attribute "1942" numeric
@attribute "375" numeric
@attribute "1969" numeric
@attribute "4000" numeric
@attribute "3070" numeric
@attribute "1943" numeric
@attribute "1986" numeric
@attribute "96" numeric
@attribute "250" numeric
@attribute "47" numeric
@attribute "13117" numeric
@attribute "363" numeric
@attribute "101" numeric
@attribute "1200" numeric
@attribute "467569" numeric
@attribute "1500" numeric
@attribute "73" numeric
@attribute "33" numeric
@attribute "170" numeric
@attribute "81" numeric
@attribute "157" numeric
@attribute "1990" numeric
@attribute "200" numeric
@attribute "1881" numeric
@attribute "10049" numeric
@attribute "3700" numeric
@attribute "240" numeric
@attribute "1931" numeric
@attribute "235" numeric
@attribute "1989" numeric
@attribute "1967" numeric
@attribute "1955" numeric
@attribute "800" numeric
@attribute "87" numeric
@attribute "6490" numeric
@attribute "1949" numeric
@attribute "1545" numeric
@attribute "1884" numeric
@attribute "1932" numeric
@attribute "1988" numeric
@attribute "130" numeric
@attribute "365" numeric
@attribute "1978" numeric
@attribute "2001" numeric
@attribute "104" numeric
@attribute "310" numeric
@attribute "117" numeric
@attribute "06" numeric
@attribute "1981" numeric
@attribute "59" numeric
@attribute "51" numeric
@attribute "0181" numeric
@attribute "6312" numeric
@attribute "165" numeric
@attribute "4050" numeric
@attribute "974" numeric
@attribute "1947" numeric
@attribute "1993" numeric
@attribute "1934" numeric
@attribute "1927" numeric
@attribute "5000" numeric
@attribute "2011" numeric
@attribute "1880" numeric
@attribute "5101" numeric
@attribute "2700" numeric
@attribute "634" numeric
@attribute "22" numeric
@attribute "112" numeric
@attribute "37" numeric
@attribute "71936" numeric
@attribute "504" numeric
@attribute "43" numeric
@attribute "102" numeric
@attribute "120" numeric
@attribute "9916" numeric
@attribute "1928" numeric
@attribute "1911" numeric
@attribute "1972" numeric
@attribute "1963" numeric
@attribute "13037" numeric
@attribute "95" numeric
@attribute "33374" numeric
@attribute "7203" numeric
@attribute "1991" numeric
@attribute "351" numeric
@attribute "1945" numeric
@attribute "160" numeric
@attribute "1968" numeric
@attribute "1831" numeric
@attribute "1922" numeric
@attribute "03" numeric
@attribute "1700" numeric
@attribute "56" numeric
@attribute "98" numeric
@attribute "273" numeric
@attribute "1870" numeric
@attribute "410" numeric
@attribute "1956" numeric
@attribute "9011" numeric
@attribute "0016" numeric
@attribute "911" numeric
@attribute "1916" numeric
@attribute "480" numeric
@attribute "30685" numeric
@attribute "38" numeric
@attribute "78" numeric
@attribute "900" numeric
@attribute "179" numeric
@attribute "6578" numeric
@attribute "014" numeric
@attribute "93" numeric
@attribute "199" numeric
@attribute "224" numeric
@attribute "8500" numeric
@attribute "85" numeric
@attribute "02651" numeric
@attribute "2561" numeric
@attribute "13030" numeric
@attribute "1890" numeric
@attribute "31" numeric
@attribute "7000" numeric
@attribute "63" numeric
@attribute "5811" numeric
@attribute "1841" numeric
@attribute "1975" numeric
@attribute class {Agresti, Ashbacher, Auken, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra}
@data
0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
