@relation amazonReview
@attribute "the" numeric
@attribute "and" numeric
@attribute "a" numeric
@attribute "to" numeric
@attribute "of" numeric
@attribute "is" numeric
@attribute "in" numeric
@attribute "it" numeric
@attribute "that" numeric
@attribute "I" numeric
@attribute "for" numeric
@attribute "this" numeric
@attribute "you" numeric
@attribute "with" numeric
@attribute "are" numeric
@attribute "on" numeric
@attribute "as" numeric
@attribute "but" numeric
@attribute "have" numeric
@attribute "be" numeric
@attribute "or" numeric
@attribute "an" numeric
@attribute "my" numeric
@attribute "from" numeric
@attribute "at" numeric
@attribute "can" numeric
@attribute "has" numeric
@attribute "by" numeric
@attribute "his" numeric
@attribute "do" numeric
@attribute "all" numeric
@attribute "about" numeric
@attribute "they" numeric
@attribute "her" numeric
@attribute "some" numeric
@attribute "will" numeric
@attribute "who" numeric
@attribute "out" numeric
@attribute "if" numeric
@attribute "your" numeric
@attribute "up" numeric
@attribute "them" numeric
@attribute "which" numeric
@attribute "than" numeric
@attribute "he" numeric
@attribute "what" numeric
@attribute "would" numeric
@attribute "like" numeric
@attribute "their" numeric
@attribute "these" numeric
@attribute "me" numeric
@attribute "into" numeric
@attribute "The" numeric
@attribute "does" numeric
@attribute "she" numeric
@attribute "had" numeric
@attribute "those" numeric
@attribute "no" numeric
@attribute "we" numeric
@attribute "any" numeric
@attribute "because" numeric
@attribute "did" numeric
@attribute "over" numeric
@attribute "so" numeric
@attribute "could" numeric
@attribute "may" numeric
@attribute "through" numeric
@attribute "after" numeric
@attribute "both" numeric
@attribute "each" numeric
@attribute "its" numeric
@attribute "our" numeric
@attribute "This" numeric
@attribute "am" numeric
@attribute "should" numeric
@attribute "'ll" numeric
@attribute "before" numeric
@attribute "off" numeric
@attribute "without" numeric
@attribute "around" numeric
@attribute "another" numeric
@attribute "'d" numeric
@attribute "him" numeric
@attribute "since" numeric
@attribute "while" numeric
@attribute "every" numeric
@attribute "ca" numeric
@attribute "might" numeric
@attribute "down" numeric
@attribute "between" numeric
@attribute "able" numeric
@attribute "though" numeric
@attribute "us" numeric
@attribute "done" numeric
@attribute "under" numeric
@attribute "along" numeric
@attribute "during" numeric
@attribute "must" numeric
@attribute "until" numeric
@attribute "although" numeric
@attribute "It" numeric
@attribute "wo" numeric
@attribute "&" numeric
@attribute "myself" numeric
@attribute "A" numeric
@attribute "itself" numeric
@attribute "against" numeric
@attribute "either" numeric
@attribute "THE" numeric
@attribute "within" numeric
@attribute "across" numeric
@attribute "If" numeric
@attribute "yourself" numeric
@attribute "behind" numeric
@attribute "inside" numeric
@attribute "In" numeric
@attribute "throughout" numeric
@attribute "My" numeric
@attribute "himself" numeric
@attribute "per" numeric
@attribute "themselves" numeric
@attribute "plus" numeric
@attribute "via" numeric
@attribute "whether" numeric
@attribute "herself" numeric
@attribute "You" numeric
@attribute "whose" numeric
@attribute "above" numeric
@attribute "We" numeric
@attribute "worth" numeric
@attribute "upon" numeric
@attribute "As" numeric
@attribute "For" numeric
@attribute "What" numeric
@attribute "unless" numeric
@attribute "among" numeric
@attribute "except" numeric
@attribute "beyond" numeric
@attribute "While" numeric
@attribute "willing" numeric
@attribute "OF" numeric
@attribute "near" numeric
@attribute "towards" numeric
@attribute "onto" numeric
@attribute "Your" numeric
@attribute "whatever" numeric
@attribute "such" numeric
@attribute "half" numeric
@attribute "ago" numeric
@attribute "despite" numeric
@attribute "away" numeric
@attribute "outside" numeric
@attribute "whom" numeric
@attribute "These" numeric
@attribute "once" numeric
@attribute "After" numeric
@attribute "To" numeric
@attribute "unlike" numeric
@attribute "Can" numeric
@attribute "Some" numeric
@attribute "and\/or" numeric
@attribute "All" numeric
@attribute "below" numeric
@attribute "nor" numeric
@attribute "toward" numeric
@attribute "whereas" numeric
@attribute "AND" numeric
@attribute "Although" numeric
@attribute "neither" numeric
@attribute "From" numeric
@attribute "Up" numeric
@attribute "That" numeric
@attribute "On" numeric
@attribute "But" numeric
@attribute "versus" numeric
@attribute "No" numeric
@attribute "Who" numeric
@attribute "vs." numeric
@attribute "Me" numeric
@attribute "unable" numeric
@attribute "About" numeric
@attribute "yet" numeric
@attribute "Our" numeric
@attribute "besides" numeric
@attribute "Each" numeric
@attribute "ourselves" numeric
@attribute "one" numeric
@attribute "Out" numeric
@attribute "back" numeric
@attribute "At" numeric
@attribute "Since" numeric
@attribute "YOU" numeric
@attribute "underneath" numeric
@attribute "alongside" numeric
@attribute "Will" numeric
@attribute "She" numeric
@attribute "Before" numeric
@attribute "beneath" numeric
@attribute "de" numeric
@attribute "amongst" numeric
@attribute "WILL" numeric
@attribute "An" numeric
@attribute "THAT" numeric
@attribute "mine" numeric
@attribute "They" numeric
@attribute "IN" numeric
@attribute "next" numeric
@attribute "And" numeric
@attribute "Like" numeric
@attribute "He" numeric
@attribute "past" numeric
@attribute "With" numeric
@attribute "Those" numeric
@attribute "So" numeric
@attribute "Through" numeric
@attribute "Every" numeric
@attribute "Ca" numeric
@attribute "His" numeric
@attribute "Because" numeric
@attribute "theirs" numeric
@attribute "FOR" numeric
@attribute "Of" numeric
@attribute "ought" numeric
@attribute "TO" numeric
@attribute "nearer" numeric
@attribute "Without" numeric
@attribute "WHAT" numeric
@attribute "ON" numeric
@attribute "Though" numeric
@attribute "NO" numeric
@attribute "aboard" numeric
@attribute "whichever" numeric
@attribute "Would" numeric
@attribute "minus" numeric
@attribute "together" numeric
@attribute "Over" numeric
@attribute "Should" numeric
@attribute "IF" numeric
@attribute "albeit" numeric
@attribute "By" numeric
@attribute "Than" numeric
@attribute "Both" numeric
@attribute "dare" numeric
@attribute "Must" numeric
@attribute "Which" numeric
@attribute "UNDER" numeric
@attribute "WHO" numeric
@attribute "nary" numeric
@attribute "Another" numeric
@attribute "Despite" numeric
@attribute "s" numeric
@attribute "ya" numeric
@attribute "ours" numeric
@attribute "'em" numeric
@attribute "Howard" numeric
@attribute "WITH" numeric
@attribute "Could" numeric
@attribute "atop" numeric
@attribute "shall" numeric
@attribute "v." numeric
@attribute "Inside" numeric
@attribute "'s" numeric
@attribute "Behind" numeric
@attribute "apart" numeric
@attribute "Against" numeric
@attribute "Or" numeric
@attribute "aside" numeric
@attribute "unwilling" numeric
@attribute "IT" numeric
@attribute "UP" numeric
@attribute "Among" numeric
@attribute "'n'" numeric
@attribute "Upon" numeric
@attribute "till" numeric
@attribute "less" numeric
@attribute "BOTH" numeric
@attribute "beside" numeric
@attribute "'til" numeric
@attribute "HE" numeric
@attribute "whoever" numeric
@attribute "Its" numeric
@attribute "Him" numeric
@attribute "Under" numeric
@attribute "Off" numeric
@attribute "need" numeric
@attribute "Whether" numeric
@attribute "Once" numeric
@attribute "Toward" numeric
@attribute "Within" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
5,3,4,1,4,5,3,4,2,1,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
12,3,6,3,2,4,0,3,1,1,1,0,0,0,0,5,0,2,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,2,2,4,4,2,2,1,3,1,5,1,1,3,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
18,4,6,4,5,2,0,3,4,1,2,1,0,6,0,5,1,0,0,0,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,1,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
13,4,7,4,5,5,1,4,0,0,1,3,3,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
11,6,14,8,8,4,0,4,2,1,1,0,2,2,0,4,1,1,2,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
13,1,8,4,6,3,2,3,0,0,0,0,1,2,0,1,0,0,0,1,3,1,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
11,6,2,6,2,4,2,1,3,0,5,1,1,4,6,1,1,2,0,3,3,0,0,0,0,1,1,1,0,2,0,0,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
21,2,6,5,6,5,2,4,1,1,3,0,6,0,6,7,2,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
10,6,6,6,2,8,5,4,1,0,1,1,0,2,0,0,3,2,0,2,1,1,1,2,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
