@relation amazonReview
@attribute "." numeric
@attribute "," numeric
@attribute "'" numeric
@attribute "\"" numeric
@attribute ":" numeric
@attribute "!" numeric
@attribute ";" numeric
@attribute "?" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
13,4,3,4,0,0,0,0,Agresti
12,5,2,4,0,0,0,0,Agresti
12,3,2,0,4,0,1,0,Agresti
13,11,4,0,0,0,0,0,Agresti
17,8,4,3,0,0,0,0,Agresti
15,14,5,4,0,0,0,0,Agresti
8,8,3,10,0,0,1,5,Agresti
13,13,5,1,0,0,0,0,Agresti
16,12,3,8,3,0,0,0,Agresti
12,13,2,2,0,0,2,0,Agresti
13,12,3,4,0,0,0,0,Agresti
8,8,1,0,0,0,0,0,Agresti
9,7,4,3,0,0,0,0,Agresti
15,13,4,6,1,0,1,0,Agresti
11,10,2,2,0,0,0,0,Agresti
18,7,3,2,4,0,1,0,Agresti
13,7,3,4,0,0,0,0,Agresti
13,9,3,0,0,1,0,0,Agresti
10,12,3,0,0,1,1,0,Agresti
28,18,1,8,1,0,0,0,Agresti
20,13,7,8,1,0,0,0,Agresti
15,14,3,7,0,0,0,0,Agresti
14,19,12,1,3,1,1,0,Agresti
17,12,12,2,0,0,2,0,Agresti
13,10,5,7,0,0,0,0,Agresti
12,6,2,5,0,0,1,0,Agresti
14,7,2,1,0,0,1,0,Agresti
19,19,6,0,0,0,1,0,Agresti
12,12,6,4,1,0,0,0,Agresti
9,9,3,2,0,0,1,0,Agresti
8,9,3,4,0,0,3,0,Agresti
10,7,6,0,0,0,1,0,Agresti
8,14,1,0,0,0,0,0,Agresti
21,14,7,3,3,0,4,0,Agresti
23,10,3,12,0,0,0,0,Agresti
7,8,2,0,0,0,1,0,Agresti
8,6,6,5,0,0,0,0,Agresti
10,9,5,2,0,0,0,0,Agresti
9,7,5,2,0,0,0,0,Agresti
11,14,5,2,0,0,0,0,Agresti
6,5,5,4,0,0,1,0,Agresti
18,16,10,2,0,0,1,0,Agresti
27,19,4,12,0,0,3,0,Agresti
8,5,2,5,3,0,0,0,Agresti
11,5,3,8,3,0,1,0,Agresti
10,6,4,0,2,0,1,0,Agresti
11,5,4,0,3,0,1,0,Agresti
18,20,7,6,1,0,2,0,Agresti
5,4,3,1,0,0,1,0,Agresti
17,18,5,0,0,0,0,0,Agresti
11,8,0,6,0,0,0,0,Ashbacher
9,4,0,2,0,0,0,0,Ashbacher
4,4,0,2,0,0,0,0,Ashbacher
8,5,1,12,0,0,1,0,Ashbacher
8,5,1,12,0,0,1,0,Ashbacher
9,8,0,0,0,0,2,0,Ashbacher
8,10,1,0,0,0,2,0,Ashbacher
9,14,0,8,0,0,1,0,Ashbacher
6,5,1,0,0,0,0,0,Ashbacher
15,13,0,2,0,0,1,0,Ashbacher
7,5,1,0,0,0,0,0,Ashbacher
5,5,0,0,0,0,0,0,Ashbacher
6,10,1,0,0,0,0,0,Ashbacher
11,9,1,0,0,0,1,0,Ashbacher
6,11,1,2,0,0,0,0,Ashbacher
7,5,0,0,0,0,0,0,Ashbacher
7,7,0,2,0,0,0,0,Ashbacher
15,21,3,0,0,0,0,0,Ashbacher
14,15,0,3,0,0,0,0,Ashbacher
5,8,1,0,0,0,0,0,Ashbacher
13,11,5,0,0,0,2,0,Ashbacher
10,11,1,0,0,0,0,0,Ashbacher
12,12,0,0,0,0,1,0,Ashbacher
10,6,2,0,0,0,0,0,Ashbacher
11,9,2,0,0,0,0,0,Ashbacher
8,5,0,2,0,0,1,0,Ashbacher
14,19,0,6,0,0,1,1,Ashbacher
6,6,0,0,1,0,0,0,Ashbacher
14,10,3,0,0,0,1,0,Ashbacher
11,9,1,4,0,0,1,0,Ashbacher
6,15,0,0,1,0,0,0,Ashbacher
14,11,5,4,0,0,0,0,Ashbacher
11,13,4,2,0,0,2,0,Ashbacher
14,15,0,0,0,0,0,0,Ashbacher
11,14,0,6,0,0,0,0,Ashbacher
16,6,3,0,0,0,0,0,Ashbacher
11,17,1,8,1,1,1,0,Ashbacher
17,12,2,2,0,0,6,0,Ashbacher
14,14,0,0,0,0,0,0,Ashbacher
8,8,0,2,3,0,1,0,Ashbacher
14,9,2,0,0,0,1,0,Ashbacher
11,13,0,0,0,0,1,0,Ashbacher
9,11,2,0,0,0,0,0,Ashbacher
7,7,0,2,0,0,1,0,Ashbacher
9,7,2,10,0,0,0,0,Ashbacher
15,11,0,2,0,0,1,0,Ashbacher
9,2,2,2,0,0,0,0,Ashbacher
12,15,4,0,0,0,1,0,Ashbacher
10,7,1,2,0,0,0,0,Ashbacher
7,4,1,2,0,0,2,0,Ashbacher
16,5,6,6,2,7,0,1,Auken
19,16,10,6,0,0,1,0,Auken
24,19,3,4,0,0,0,0,Auken
12,23,9,8,1,0,0,0,Auken
12,23,9,8,1,0,0,0,Auken
15,6,3,4,4,0,0,0,Auken
14,7,6,2,0,0,0,0,Auken
14,6,6,2,0,0,0,0,Auken
5,0,1,0,2,0,0,0,Auken
6,11,7,0,1,1,0,0,Auken
12,12,7,0,1,0,1,0,Auken
11,12,7,0,1,0,1,0,Auken
9,4,6,0,1,0,0,0,Auken
19,20,10,10,0,0,0,0,Auken
28,15,3,0,4,0,15,0,Auken
16,10,2,8,0,0,0,0,Auken
20,11,4,2,0,1,0,0,Auken
13,11,4,6,0,0,1,0,Auken
20,11,4,2,0,1,0,0,Auken
17,13,11,2,0,3,1,0,Auken
14,13,6,10,3,0,0,0,Auken
9,11,5,4,0,2,0,1,Auken
20,17,9,6,0,3,0,0,Auken
15,7,6,4,2,1,0,0,Auken
5,5,8,0,1,0,0,0,Auken
11,4,2,2,3,0,0,0,Auken
15,11,12,4,0,1,0,0,Auken
14,8,10,4,0,1,0,0,Auken
19,11,17,2,2,1,0,0,Auken
12,5,4,2,1,0,0,0,Auken
13,4,5,2,1,0,0,0,Auken
1,3,1,0,1,1,0,0,Auken
17,13,8,0,2,1,0,1,Auken
11,3,8,0,0,0,0,1,Auken
13,12,14,2,0,0,0,0,Auken
14,12,14,4,0,0,0,0,Auken
