@relation amazonReview
@attribute "Unrestricted Type-Token ratio" numeric
@attribute "Guiraud's R" numeric
@attribute "Herdan's C" numeric
@attribute "Dugast's k" numeric
@attribute "Tuldava's LN" numeric
@attribute "Yule's K" numeric
@attribute "Honore's H" numeric
@attribute "Yule's K" numeric
@attribute "Entropy" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
.062,1.574,.570,1.976,-.154,527.586,647.080,.075,34.664,Agresti
.045,1.278,.537,1.888,-.150,638.897,667.582,.000,26.853,Agresti
.051,1.411,.552,1.935,-.151,616.777,663.857,.077,29.092,Agresti
.034,1.086,.512,1.834,-.144,611.558,694.601,.057,20.921,Agresti
.047,1.337,.543,1.913,-.149,603.388,669.456,.105,27.643,Agresti
.032,1.128,.517,1.877,-.140,581.052,713.648,.050,20.073,Agresti
.049,1.313,.541,1.889,-.152,632.041,656.667,.057,28.632,Agresti
.030,1.033,.505,1.821,-.142,684.767,704.665,.029,19.042,Agresti
.037,1.249,.532,1.916,-.142,615.661,703.086,.190,22.600,Agresti
.041,1.284,.536,1.913,-.145,584.196,687.730,.150,24.567,Agresti
.035,1.175,.523,1.882,-.143,620.912,700.397,.103,21.277,Agresti
.052,1.316,.543,1.877,-.155,648.391,644.413,.000,29.130,Agresti
.053,1.360,.547,1.900,-.154,589.375,649.527,.000,30.637,Agresti
.031,1.075,.510,1.845,-.141,601.122,707.750,.081,19.863,Agresti
.039,1.159,.522,1.846,-.148,630.186,675.809,.029,24.292,Agresti
.045,1.381,.547,1.945,-.146,611.728,682.979,.119,26.523,Agresti
.044,1.237,.532,1.871,-.149,662.733,668.586,.000,24.740,Agresti
.051,1.399,.551,1.927,-.151,661.808,660.394,.105,29.151,Agresti
.051,1.292,.540,1.871,-.154,598.042,648.004,.000,28.827,Agresti
.033,1.160,.521,1.891,-.140,625.775,713.010,.098,20.503,Agresti
.026,.943,.492,1.790,-.139,615.378,717.089,.147,17.104,Agresti
.030,.988,.498,1.795,-.142,634.503,701.661,.091,19.018,Agresti
.042,1.244,.532,1.886,-.147,633.777,678.559,.135,25.165,Agresti
.040,1.213,.528,1.878,-.146,602.323,683.626,.081,24.022,Agresti
.041,1.299,.538,1.922,-.145,634.516,690.375,.122,24.673,Agresti
.045,1.235,.532,1.864,-.151,619.304,663.068,.088,26.421,Agresti
.042,1.191,.526,1.853,-.149,600.143,670.319,.029,25.304,Agresti
.028,1.004,.501,1.821,-.140,625.912,715.929,.056,18.110,Agresti
.037,1.227,.529,1.906,-.142,588.744,701.840,.049,23.075,Agresti
.049,1.343,.544,1.909,-.151,621.735,663.200,.108,27.802,Agresti
.044,1.229,.531,1.863,-.150,592.576,663.988,.088,26.694,Agresti
.059,1.400,.553,1.896,-.158,653.208,632.077,.061,33.542,Agresti
.050,1.300,.540,1.880,-.153,603.754,652.796,.118,28.012,Agresti
.029,1.042,.506,1.837,-.140,680.745,713.887,.054,19.056,Agresti
.046,1.301,.539,1.899,-.149,667.475,669.580,.108,26.444,Agresti
.068,1.502,.566,1.920,-.162,668.827,618.002,.061,35.702,Agresti
.075,1.647,.581,1.969,-.162,695.935,616.961,.083,38.499,Agresti
.043,1.198,.527,1.848,-.151,638.400,663.200,.061,25.745,Agresti
.060,1.423,.556,1.908,-.157,599.649,634.739,.088,33.344,Agresti
.039,1.139,.519,1.834,-.148,651.906,673.221,.091,23.829,Agresti
.058,1.358,.548,1.880,-.158,643.292,631.897,.094,32.109,Agresti
.032,1.104,.514,1.859,-.141,616.418,707.750,.105,20.601,Agresti
.030,1.050,.507,1.839,-.140,600.572,712.367,.054,19.310,Agresti
.096,1.832,.603,2.003,-.169,608.519,589.990,.057,44.929,Agresti
.056,1.354,.547,1.886,-.156,638.342,638.688,.121,31.140,Agresti
.056,1.398,.552,1.909,-.155,605.323,644.095,.143,31.802,Agresti
.073,1.573,.574,1.942,-.163,586.137,614.633,.147,38.035,Agresti
.036,1.156,.521,1.865,-.144,621.183,693.245,.081,22.463,Agresti
.093,1.725,.593,1.964,-.171,583.846,584.064,.062,46.535,Agresti
.031,1.106,.514,1.866,-.140,610.563,712.528,.128,20.005,Agresti
.040,1.168,.523,1.848,-.148,641.015,674.170,.029,24.495,Ashbacher
.033,1.058,.508,1.820,-.144,671.337,693.925,.059,21.249,Ashbacher
.057,1.283,.540,1.840,-.160,687.459,623.637,.034,31.628,Ashbacher
.034,1.056,.508,1.812,-.145,644.536,688.346,.121,21.041,Ashbacher
.034,1.056,.508,1.812,-.145,644.536,688.346,.121,21.041,Ashbacher
.028,.881,.482,1.723,-.144,629.704,691.672,.036,18.096,Ashbacher
.039,1.151,.521,1.844,-.148,692.468,677.194,.118,22.768,Ashbacher
.031,1.069,.509,1.844,-.141,605.398,708.841,.027,19.891,Ashbacher
.050,1.242,.534,1.845,-.155,652.232,643.455,.032,28.803,Ashbacher
.028,1.023,.503,1.839,-.138,646.521,722.911,.211,17.549,Ashbacher
.046,1.329,.542,1.911,-.149,652.002,670.686,.158,26.946,Ashbacher
.060,1.363,.550,1.874,-.160,571.928,624.804,.097,33.539,Ashbacher
.052,1.228,.532,1.826,-.158,671.786,632.436,.034,29.299,Ashbacher
.027,.894,.484,1.744,-.142,670.003,702.731,.033,17.222,Ashbacher
.050,1.223,.531,1.832,-.156,586.390,640.026,.100,28.672,Ashbacher
.043,1.116,.517,1.797,-.153,694.321,651.471,.069,25.509,Ashbacher
.039,1.144,.520,1.842,-.147,657.531,678.333,.059,23.408,Ashbacher
