@relation amazonReview
@attribute "0_words_in_sentence" numeric
@attribute "17_words_in_sentence" numeric
@attribute "16_words_in_sentence" numeric
@attribute "15_words_in_sentence" numeric
@attribute "18_words_in_sentence" numeric
@attribute "14_words_in_sentence" numeric
@attribute "20_words_in_sentence" numeric
@attribute "13_words_in_sentence" numeric
@attribute "19_words_in_sentence" numeric
@attribute "21_words_in_sentence" numeric
@attribute "22_words_in_sentence" numeric
@attribute "12_words_in_sentence" numeric
@attribute "11_words_in_sentence" numeric
@attribute "23_words_in_sentence" numeric
@attribute "25_words_in_sentence" numeric
@attribute "10_words_in_sentence" numeric
@attribute "9_words_in_sentence" numeric
@attribute "24_words_in_sentence" numeric
@attribute "26_words_in_sentence" numeric
@attribute "28_words_in_sentence" numeric
@attribute "27_words_in_sentence" numeric
@attribute "8_words_in_sentence" numeric
@attribute "6_words_in_sentence" numeric
@attribute "7_words_in_sentence" numeric
@attribute "29_words_in_sentence" numeric
@attribute "30_words_in_sentence" numeric
@attribute "4_words_in_sentence" numeric
@attribute "5_words_in_sentence" numeric
@attribute "31_words_in_sentence" numeric
@attribute "1_words_in_sentence" numeric
@attribute "32_words_in_sentence" numeric
@attribute "2_words_in_sentence" numeric
@attribute "3_words_in_sentence" numeric
@attribute "33_words_in_sentence" numeric
@attribute "34_words_in_sentence" numeric
@attribute "36_words_in_sentence" numeric
@attribute "35_words_in_sentence" numeric
@attribute "37_words_in_sentence" numeric
@attribute "38_words_in_sentence" numeric
@attribute "39_words_in_sentence" numeric
@attribute "40_words_in_sentence" numeric
@attribute "42_words_in_sentence" numeric
@attribute "41_words_in_sentence" numeric
@attribute "43_words_in_sentence" numeric
@attribute "45_words_in_sentence" numeric
@attribute "44_words_in_sentence" numeric
@attribute "47_words_in_sentence" numeric
@attribute "46_words_in_sentence" numeric
@attribute "49_words_in_sentence" numeric
@attribute "50_words_in_sentence" numeric
@attribute "48_words_in_sentence" numeric
@attribute "51_words_in_sentence" numeric
@attribute "52_words_in_sentence" numeric
@attribute "53_words_in_sentence" numeric
@attribute "58_words_in_sentence" numeric
@attribute "54_words_in_sentence" numeric
@attribute "55_words_in_sentence" numeric
@attribute "56_words_in_sentence" numeric
@attribute "61_words_in_sentence" numeric
@attribute "64_words_in_sentence" numeric
@attribute "60_words_in_sentence" numeric
@attribute "57_words_in_sentence" numeric
@attribute "62_words_in_sentence" numeric
@attribute "63_words_in_sentence" numeric
@attribute "59_words_in_sentence" numeric
@attribute "66_words_in_sentence" numeric
@attribute "65_words_in_sentence" numeric
@attribute "69_words_in_sentence" numeric
@attribute "67_words_in_sentence" numeric
@attribute "70_words_in_sentence" numeric
@attribute "74_words_in_sentence" numeric
@attribute "68_words_in_sentence" numeric
@attribute "71_words_in_sentence" numeric
@attribute "73_words_in_sentence" numeric
@attribute "81_words_in_sentence" numeric
@attribute "83_words_in_sentence" numeric
@attribute "72_words_in_sentence" numeric
@attribute "92_words_in_sentence" numeric
@attribute "112_words_in_sentence" numeric
@attribute "76_words_in_sentence" numeric
@attribute "96_words_in_sentence" numeric
@attribute "95_words_in_sentence" numeric
@attribute "79_words_in_sentence" numeric
@attribute "85_words_in_sentence" numeric
@attribute "78_words_in_sentence" numeric
@attribute "82_words_in_sentence" numeric
@attribute "77_words_in_sentence" numeric
@attribute "98_words_in_sentence" numeric
@attribute "88_words_in_sentence" numeric
@attribute "101_words_in_sentence" numeric
@attribute "122_words_in_sentence" numeric
@attribute "86_words_in_sentence" numeric
@attribute "102_words_in_sentence" numeric
@attribute "105_words_in_sentence" numeric
@attribute "91_words_in_sentence" numeric
@attribute "75_words_in_sentence" numeric
@attribute "136_words_in_sentence" numeric
@attribute "99_words_in_sentence" numeric
@attribute "121_words_in_sentence" numeric
@attribute "97_words_in_sentence" numeric
@attribute "148_words_in_sentence" numeric
@attribute "125_words_in_sentence" numeric
@attribute "94_words_in_sentence" numeric
@attribute "183_words_in_sentence" numeric
@attribute "154_words_in_sentence" numeric
@attribute "158_words_in_sentence" numeric
@attribute "177_words_in_sentence" numeric
@attribute "145_words_in_sentence" numeric
@attribute "90_words_in_sentence" numeric
@attribute "129_words_in_sentence" numeric
@attribute "226_words_in_sentence" numeric
@attribute "114_words_in_sentence" numeric
@attribute "111_words_in_sentence" numeric
@attribute "87_words_in_sentence" numeric
@attribute "199_words_in_sentence" numeric
@attribute "80_words_in_sentence" numeric
@attribute "119_words_in_sentence" numeric
@attribute "84_words_in_sentence" numeric
@attribute "201_words_in_sentence" numeric
@attribute "93_words_in_sentence" numeric
@attribute "171_words_in_sentence" numeric
@attribute "104_words_in_sentence" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
0,5,5,5,3,6,3,7,3,3,3,8,8,3,3,8,8,3,2,2,2,8,9,9,2,2,9,9,2,11,2,11,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,5,6,6,5,6,4,7,5,4,4,7,9,4,2,9,10,3,2,1,2,10,11,11,1,1,11,11,1,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,7,7,7,7,7,5,7,6,2,1,7,7,0,0,7,9,0,0,0,0,12,12,12,0,0,12,12,0,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,9,10,10,8,10,8,10,8,7,7,11,12,6,5,12,12,6,5,3,3,13,13,13,2,2,13,13,2,13,2,13,13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,5,6,7,5,7,4,7,4,4,4,7,7,4,3,8,10,4,3,3,3,10,12,10,3,3,13,13,2,15,2,15,13,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,9,10,10,9,10,9,11,9,8,8,14,14,7,6,14,14,6,5,4,5,15,15,15,4,4,15,15,4,15,2,15,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,5,5,7,5,7,5,7,5,4,4,7,8,3,3,9,9,3,3,2,3,10,11,10,1,1,11,11,1,13,1,11,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,9,9,9,8,10,8,11,8,8,8,11,12,7,7,12,12,7,7,5,5,12,12,12,4,4,12,12,3,12,3,12,12,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,9,9,10,9,10,8,11,8,8,8,13,13,8,4,13,13,6,3,3,3,15,15,15,3,3,15,15,3,16,3,16,16,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,9,9,9,9,9,7,9,8,7,6,9,10,5,3,10,10,5,2,1,1,10,10,10,1,1,11,10,1,12,1,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
