@relation amazonReview
@attribute "-" numeric
@attribute ")" numeric
@attribute "(" numeric
@attribute "/" numeric
@attribute "_" numeric
@attribute "*" numeric
@attribute "+" numeric
@attribute "&" numeric
@attribute "%" numeric
@attribute "~" numeric
@attribute "$" numeric
@attribute "]" numeric
@attribute "[" numeric
@attribute "#" numeric
@attribute "\\" numeric
@attribute "=" numeric
@attribute "`" numeric
@attribute "<" numeric
@attribute ">" numeric
@attribute "|" numeric
@attribute class {Agresti, Ashbacher, Auken, Beauchamp, Blankenship, Brody, Brown, Bukowsky, CFH, Calvinnme, Chachra, Chandler, Chell, Cholette, Comdet, Corn, Cruiser, Cutey, Daneman, Davisson, Dent, Duff, Engineer, Goonan, Grove, Harp, Hayes, Janson, Johnson, Koenig}
@data
0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,Agresti
6,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
7,1,1,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Agresti
5,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
10,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
11,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Agresti
8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
9,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Agresti
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
5,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
10,2,2,2,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agresti
7,2,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Agresti
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ashbacher
